"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"22","1680-VDCWW","Male","NO","Yes","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.8,202.25,"No"
"23","1066-JKSGK","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"Yes"
"24","3638-WEABW","Female","NO","Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,3505.1,"No"
"25","6322-HRPFA","Male","NO","Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"No"
"26","6865-JZNKO","Female","NO","No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"No"
"27","6467-CHFZW","Male","NO","Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes"
"28","8665-UTDHZ","Male","NO","Yes","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"Yes"
"29","5248-YGIJN","Male","NO","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"No"
"30","8773-HHUOZ","Female","NO","No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes"
"31","3841-NFECX","Female","YES","Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95,"No"
"32","4929-XIHVW","Male","YES","Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No"
"33","6827-IEAUQ","Female","NO","Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"No"
"34","7310-EGVHZ","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"No"
"35","3413-BMNZE","Male","YES","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No"
"36","6234-RAAPL","Female","NO","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,7251.7,"No"
"37","6047-YHPVI","Male","NO","No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes"
"39","5380-WJKOV","Male","NO","No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes"
"41","8865-TNMNX","Male","NO","Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,475.7,"No"
"42","9489-DEDVP","Female","NO","Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No"
"44","4671-VJLCL","Female","NO","No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,4861.45,"No"
"45","4080-IIARD","Female","NO","Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"No"
"46","3714-NTNFO","Female","NO","No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"No"
"47","5948-UJZLF","Male","NO","No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"No"
"48","7760-OYPDY","Female","NO","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes"
"49","7639-LIAYI","Male","NO","No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"No"
"50","2954-PIBKO","Female","NO","Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"No"
"51","8012-SOUDQ","Female","YES","No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"No"
"52","9420-LOJKX","Female","NO","No","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes"
"53","6575-SUVOI","Female","YES","Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No"
"54","7495-OOKFY","Female","YES","Yes","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes"
"55","4667-QONEA","Female","YES","Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No"
"56","1658-BYGOY","Male","YES","No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes"
"57","8769-KKTPH","Female","NO","Yes","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"No"
"59","3957-SQXML","Female","NO","Yes","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.95,894.3,"No"
"60","5954-BDFSG","Female","NO","No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No"
"61","0434-CSFON","Female","NO","Yes","No",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"No"
"62","1215-FIGMP","Male","NO","No","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"No"
"63","0526-SXDJP","Male","NO","Yes","No",72,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.1,2962,"No"
"64","0557-ASKVU","Female","NO","Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,957.1,"No"
"65","5698-BQJOH","Female","NO","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes"
"66","5122-CYFXA","Female","NO","No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"No"
"67","8627-ZYGSZ","Male","NO","Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,3650.35,"No"
"68","3410-YOQBQ","Female","NO","No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,2497.2,"No"
"69","3170-NMYVV","Female","NO","Yes","Yes",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.15,930.9,"No"
"70","7410-OIEDU","Male","NO","No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,887.35,"No"
"71","2273-QCKXA","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"No"
"72","0731-EBJQB","Female","NO","Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,1090.65,"No"
"73","1891-QRQSA","Male","YES","Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"No"
"74","8028-PNXHQ","Male","NO","Yes","Yes",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"No"
"75","5630-AHZIL","Female","NO","No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"No"
"76","2673-CXQEU","Female","YES","No","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"No"
"77","6416-JNVRK","Female","NO","No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,2688.85,"No"
"79","0191-ZHSKZ","Male","YES","No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"No"
"80","3887-PBQAO","Female","NO","Yes","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.9,1216.6,"No"
"83","9191-MYQKX","Female","NO","Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes"
"84","9919-YLNNG","Female","NO","No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"No"
"85","0318-ZOPWS","Female","NO","Yes","No",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"No"
"86","4445-ZJNMU","Male","NO","No","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"No"
"87","4808-YNLEU","Female","NO","Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"No"
"88","1862-QRWPE","Female","NO","Yes","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.65,1057,"No"
"89","2796-NNUFI","Female","NO","Yes","Yes",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.95,927.1,"No"
"90","3016-KSVCP","Male","NO","Yes","No",29,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,1009.25,"No"
"91","4767-HZZHQ","Male","NO","Yes","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"No"
"92","2424-WVHPL","Male","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7,"No"
"93","7233-PAHHL","Male","NO","Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"No"
"94","6067-NGCEU","Female","NO","No","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"No"
"95","9848-JQJTX","Male","NO","No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"No"
"96","8637-XJIVR","Female","NO","No","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes"
"98","0278-YXOOG","Male","NO","No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.05,113.85,"Yes"
"99","3212-KXOCR","Male","NO","No","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21,1107.2,"No"
"100","4598-XLKNJ","Female","YES","Yes","No",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes"
"101","6380-ARCEH","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,20.2,"No"
"102","3679-XASPY","Female","NO","Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.45,19.45,"No"
"103","7123-WQUHX","Male","NO","No","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.6,"No"
"104","5386-THSLQ","Female","YES","Yes","No",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,3027.25,"No"
"105","3192-NQECA","Male","NO","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes"
"106","6180-YBIQI","Male","NO","No","No",5,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.3,100.2,"No"
"109","8597-CWYHH","Male","NO","No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,3921.3,"No"
"111","0486-HECZI","Male","NO","Yes","No",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes"
"112","4549-ZDQYY","Female","NO","No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,3042.25,"No"
"113","5712-AHQNN","Female","NO","No","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,3954.1,"No"
"114","4846-WHAFZ","Female","YES","Yes","No",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes"
"115","5256-SKJGO","Female","NO","Yes","Yes",64,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,3423.5,"No"
"116","3071-VBYPO","Male","NO","Yes","Yes",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.85,248.4,"No"
"117","9560-BBZXK","Female","NO","No","No",36,"No","No phone service","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",31.05,1126.35,"No"
"118","5299-RULOA","Female","NO","Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes"
"120","9445-ZUEQE","Male","NO","Yes","Yes",27,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",85.2,2151.6,"No"
"121","1091-SOZGA","Female","NO","Yes","Yes",56,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.8,5515.45,"No"
"122","2928-HLDBA","Female","NO","No","No",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.7,112.75,"No"
"123","0404-SWRVG","Male","NO","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes"
"124","6497-TILVL","Female","NO","Yes","Yes",7,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.7,350.35,"No"
"125","7219-TLZHO","Female","NO","Yes","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.85,62.9,"No"
"126","4622-YNKIJ","Male","NO","No","No",33,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",88.95,3027.65,"No"
"127","4412-YLTKF","Female","YES","No","No",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.05,2135.5,"Yes"
"128","6734-PSBAW","Male","NO","Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",23.55,1723.95,"No"
"129","3930-ZGWVE","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.75,19.75,"No"
"130","2639-UGMAZ","Male","YES","No","No",71,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",56.45,3985.35,"No"
"131","2876-GZYZC","Female","NO","No","No",13,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.95,1215.65,"No"
"132","6207-WIOLX","Female","NO","Yes","Yes",25,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",58.6,1502.65,"Yes"
"133","8587-XYZSF","Male","NO","No","No",67,"Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",50.55,3260.1,"No"
"134","3091-FYHKI","Male","NO","No","No",1,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.45,35.45,"Yes"
"135","2372-HWUHI","Male","NO","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.35,81.25,"Yes"
"136","7799-LGRDP","Female","NO","No","No",43,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",25.7,1188.2,"No"
"137","7850-VWJUU","Female","NO","No","No",23,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75,1778.5,"No"
"138","3774-VBNXY","Female","NO","Yes","Yes",64,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.2,1277.75,"No"
"140","0390-DCFDQ","Female","YES","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45,"Yes"
"142","4080-OGPJL","Female","NO","No","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.15,563.65,"Yes"
"143","1095-WGNGG","Female","NO","Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",101.05,5971.25,"No"
"144","2636-SJDOU","Male","NO","No","No",64,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",84.3,5289.05,"No"
"145","1131-QQZEB","Male","YES","Yes","No",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.95,1756.2,"No"
"147","6837-BJYDQ","Male","NO","No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.6,61.35,"No"
"148","2135-RXIHG","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,"Yes"
"149","6440-DKQGE","Male","NO","No","Yes",30,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",64.5,1929.95,"No"
"150","3466-BYAVD","Male","NO","Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",69.5,1071.4,"No"
"152","3874-EQOEP","Male","NO","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,655.5,"Yes"
"153","1679-JRFBR","Female","NO","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",108.15,7930.55,"No"
"154","9073-ZZIAY","Male","NO","Yes","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",86.1,5215.25,"No"
"155","3077-RSNTJ","Female","NO","Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.7,113.5,"No"
"156","6551-GNYDG","Female","NO","Yes","Yes",14,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.9,1152.8,"No"
"158","2749-CTKAJ","Male","NO","Yes","Yes",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.15,419.9,"No"
"160","7554-NEWDD","Male","NO","No","No",10,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.7,251.6,"No"
"161","8992-VONJD","Female","NO","No","Yes",13,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",56,764.55,"No"
"162","0867-MKZVY","Female","NO","Yes","No",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35,"Yes"
"163","4482-EWFMI","Female","NO","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,135.2,"No"
"164","4648-YPBTM","Male","NO","No","No",53,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",73.9,3958.25,"No"
"165","2907-ILJBN","Female","NO","Yes","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.6,233.9,"No"
"167","3376-BMGFE","Female","NO","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.9,273,"Yes"
"168","5997-OPVFA","Male","NO","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89.05,6254.45,"No"
"170","1159-WFSGR","Female","NO","Yes","Yes",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.4,321.4,"No"
"171","7654-YWJUF","Male","NO","Yes","No",43,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",84.25,3539.25,"No"
"172","1875-QIVME","Female","NO","Yes","No",2,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,242.8,"Yes"
"174","0691-JVSYA","Female","NO","Yes","No",53,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,5000.2,"Yes"
"175","5918-VUKWP","Female","NO","No","No",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",20.55,654.55,"No"
"176","1744-JHKYS","Female","NO","Yes","No",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",24.7,780.2,"No"
"177","2656-FMOKZ","Female","YES","No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,1145.7,"Yes"
"180","3712-PKXZA","Male","NO","Yes","No",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",20.55,1252,"No"
"181","6317-YPKDH","Female","NO","No","No",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.95,29.95,"Yes"
"183","9367-WXLCH","Male","NO","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",84.5,662.65,"Yes"
"184","5524-KHNJP","Male","NO","Yes","Yes",33,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",74.75,2453.3,"No"
"185","1918-ZBFQJ","Female","NO","No","No",13,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.25,1111.65,"Yes"
"186","1024-GUALD","Female","NO","Yes","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,24.8,"Yes"
